"","Site","Tissue","PCT.AG","ag.logit.z","PCT.DEV","dev.logit.z","BMP","BMP.z","Observation","Total_PCB","Pentachlorobenzene","Heptachlor","p,p'-DDE","o,p'-DDT","Galaxolide","Tonalide","Carbazole","Chlorpyrifos","Diazinon","Dichlorvos","Metalaxyl","Prometon","Diethyl phthalate","Diethylhexylphthalate (DEHP)","Tributyl phosphate (TBP)","Tris(2-chloroethyl)phosphate (TCEP)","Tris(1,3-dichloro-2-propyl)phosphate (TDCPP)","Triphenyl phosphate (TPP)","1-methyl naphthalene","2,6-dimethyl naphthalene","2-methyl naphthalene","Anthracene","Benzo[a]pyrene","Fluoranthene","Naphthalene","Phenanthrene","Pyrene","Acetophenone","Anthraquinone","Benzophenone","Caffeine","Camphor","Cotinine","Ethyl citrate","Indole","Isophorone","Menthol","Methyl salicylate","Methyl Triclosan","N,N-diethyltoluamide (DEET)","p-Octylphenol"
"97","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,97,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"98","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"99","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,99,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1
"100","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"101","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,101,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"102","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"103","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,103,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"104","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,104,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"105","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,105,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"106","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,106,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
